   Vs(kts)     Hi(m) sigf(kPa)  R_br(kN)  R_cl(kN)  R_bu(kN)   R_i(kN)
     4.00      2.90    750.00      30.3    2017.8    1510.0    3558.1
     4.00      3.00    750.00      31.7    2087.4    1562.0    3681.1
     4.00      1.00    800.00       8.6     695.8     520.7    1225.0
     4.00      1.10    800.00       9.6     765.4     572.7    1347.7
     4.00      1.20    800.00      10.7     834.9     624.8    1470.5
     4.00      1.30    800.00      11.9     904.5     676.9    1593.3
     4.00      1.40    800.00      13.0     974.1     729.0    1716.1
     4.00      1.50    800.00      14.2    1043.7     781.0    1838.9
     4.00      1.60    800.00      15.4    1113.3     833.1    1961.7
     4.00      1.70    800.00      16.6    1182.8     885.2    2084.6
     4.00      1.80    800.00      17.8    1252.4     937.2    2207.5
     4.00      1.90    800.00      19.1    1322.0     989.3    2330.4
     4.00      2.00    800.00      20.3    1391.6    1041.4    2453.3
     4.00      2.10    800.00      21.6    1461.1    1093.4    2576.2
     4.00      2.20    800.00      22.9    1530.7    1145.5    2699.1
     4.00      2.30    800.00      24.2    1600.3    1197.6    2822.1
     4.00      2.40    800.00      25.5    1669.9    1249.6    2945.1
     4.00      2.50    800.00      26.9    1739.5    1301.7    3068.0
     4.00      2.60    800.00      28.2    1809.0    1353.8    3191.0
     4.00      2.70    800.00      29.6    1878.6    1405.8    3314.1
     4.00      2.80    800.00      31.0    1948.2    1457.9    3437.1
     4.00      2.90    800.00      32.4    2017.8    1510.0    3560.1
     4.00      3.00    800.00      33.8    2087.4    1562.0    3683.2
